loja,regional
ABELARDO BUENO,Pertel
ADALBERTO FERREIRA,Pertel
ARAPANES,Marcus
ATAULFO DE PAIVA,Jean
ATERRADO,Eder
AV. DAS AMERICAS,Pertel
AV.DAS AMERICAS,Pertel
BARRA,Pertel
BARRA BLUE,Pertel
BARRA DA TIJUCA,Pertel
BARRA GARDEN,Pertel
BOTAFOGO,Pertel
BROOKLIN,Marcus
BUZIOS,Eder
CABO FRIO,Eder
CAMPO GRANDE,Pertel
CAMPOS,Eder
CARLOS GOIS,Jean
CATETE,Pertel
CD ES,Centro_Distribuicao
CD SP,Centro_Distribuicao
CONDE 648,Jean
CONDE 99,Jean
CONDE DE BONFIM,Jean
DIAS DA ROCHA,Pertel
FLAMENGO,Pertel
FREGUESIA,Pertel
GAVEA,Jean
GRAJAU,Eder
HUMAITA,Jean
ICARAI,Eder
ILHA DO GOVERNADOR,Eder
INGA,Jean
INTERLAGOS,Marcus
IPIRANGA,Marcus
ITAIPU,Eder
JARDIM BOTANICO,Pertel
JOAO CACHOEIRA,Marcus
JUIZ DE FORA,Eder
LARANJEIRAS,Pertel
LARANJEIRAS 49,Jean
LEBLON,Pertel
MACAE,Eder
MARACANA,Eder
MARIZ 1083,Jean
MARIZ 312 NITEROI,Jean
MARIZ E BARROS,Jean
MARQUES DE ABRANTES,Pertel
MARQUES DE PARANA,Eder
MOREIRA CESAR,Jean
NHAMBIQUARAS,Marcus
PARAISO,Marcus
PASSAGEM,Jean
PQ TAMANDARE,Pertel
PRADO JUNIOR,Pertel
PRAIA DO SUA,Eder
RECREIO,Pertel
RECREIO A5,Pertel
REGIAO OCEANICA,Eder
RIO DAS OSTRAS,Eder
ROSA E SILVA,Marcus
SANTA ROSA,Eder
SANTOS,Marcus
SAO CONRADO,Pertel
SAO FRANCISCO XAVIER,Jean
SBC KENNEDY,Marcus
SIQUEIRA CAMPOS,Pertel
TIJUCA,Eder
URUGUAI,Eder
VERBO DIVINO,Marcus
VILA ISABEL,Eder
VILA MADALENA,Marcus
VILA MARIANA,Marcus
VILA MASCOTE,Marcus
VILA OLIMPIA,Marcus
VILA VELHA,Eder
VISCONDE DE PIRAJA,Pertel
VOLUNTARIOS 157,Jean
VOLUNTARIOS DA PATRIA,Pertel
